material_id,cif,formula,e_hull
10162233475,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.13546353
_cell_length_b   2.87323057
_cell_length_c   4.90473056
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.92392850
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   76.39660112
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.65497252  0.65497252  0.25000000  1
  Mg  Mg1  1  0.32489340  0.32489340  0.75000000  1
  Mg  Mg2  1  0.86580080  0.36580080  0.75000000  1
  Mo  Mo3  1  0.15433328  0.65433328  0.25000000  1
",Mg3Mo,0.3475111186073825
10162233478,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.12046484
_cell_length_b   2.87122651
_cell_length_c   4.89028426
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.97712594
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.89497783
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.65550286  0.65550286  0.25000000  1
  Mg  Mg1  1  0.32427577  0.32427577  0.75000000  1
  Mg  Mg2  1  0.86581813  0.36581813  0.75000000  1
  Mo  Mo3  1  0.15440324  0.65440324  0.25000000  1
",Mg3Mo,0.34788296860738255
10162233477,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.11438721
_cell_length_b   2.86736410
_cell_length_c   4.87970165
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.96639622
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.56128161
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.65525081  0.65525081  0.25000000  1
  Mg  Mg1  1  0.32430794  0.32430794  0.75000000  1
  Mg  Mg2  1  0.86661101  0.36661101  0.75000000  1
  Mo  Mo3  1  0.15383024  0.65383024  0.25000000  1
",Mg3Mo,0.3477760361073825
10162233487,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.09831200
_cell_length_b   2.87416276
_cell_length_c   4.87695152
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   118.11901720
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.39169143
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.65720084  0.65720084  0.25000000  1
  Mg  Mg1  1  0.32284650  0.32284650  0.75000000  1
  Mg  Mg2  1  0.86405036  0.36405036  0.75000000  1
  Mo  Mo3  1  0.15590231  0.65590231  0.25000000  1
",Mg3Mo,0.3487256036073827
10162233491,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.09296326
_cell_length_b   2.87642897
_cell_length_c   4.87603482
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   118.17006961
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.33487161
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.65785173  0.65785173  0.25000000  1
  Mg  Mg1  1  0.32235869  0.32235869  0.75000000  1
  Mg  Mg2  1  0.86319565  0.36319565  0.75000000  1
  Mo  Mo3  1  0.15659393  0.65659393  0.25000000  1
",Mg3Mo,0.34911353360738273
10162233514,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.08735519
_cell_length_b   2.90341744
_cell_length_c   4.90347718
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   118.48696214
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   76.17183718
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.66239161  0.66239161  0.25000000  1
  Mg  Mg1  1  0.31939529  0.31939529  0.75000000  1
  Mg  Mg2  1  0.85632997  0.35632997  0.75000000  1
  Mo  Mo3  1  0.16188313  0.66188313  0.25000000  1
",Mg3Mo,0.3514380686073828
10162233528,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.08547161
_cell_length_b   2.91268914
_cell_length_c   4.91290482
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   118.59596214
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   76.45915754
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.66395335  0.66395335  0.25000000  1
  Mg  Mg1  1  0.31837586  0.31837586  0.75000000  1
  Mg  Mg2  1  0.85396814  0.35396814  0.75000000  1
  Mo  Mo3  1  0.16370264  0.66370264  0.25000000  1
",Mg3Mo,0.3528252711073825
10162233545,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.04246855
_cell_length_b   2.90488169
_cell_length_c   4.91087985
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   118.73401815
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.58451919
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.66549836  0.66549836  0.25000000  1
  Mg  Mg1  1  0.31721896  0.31721896  0.75000000  1
  Mg  Mg2  1  0.85170320  0.35170320  0.75000000  1
  Mo  Mo3  1  0.16557948  0.66557948  0.25000000  1
",Mg3Mo,0.3545863461073826
10162233586,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.01841673
_cell_length_b   2.92374493
_cell_length_c   4.90130835
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.06487889
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.38415356
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.66629021  0.66629021  0.25000000  1
  Mg  Mg1  1  0.32300752  0.32300752  0.75000000  1
  Mg  Mg2  1  0.84475594  0.34475594  0.75000000  1
  Mo  Mo3  1  0.16594632  0.66594632  0.25000000  1
",Mg3Mo,0.35862755110738265
10162233654,"# generated using pymatgen
data_Mg3Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.99964518
_cell_length_b   2.93857831
_cell_length_c   4.89378165
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.32691246
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Mo
_chemical_formula_sum   'Mg3 Mo1'
_cell_volume   75.22182572
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.66691645  0.66691645  0.25000000  1
  Mg  Mg1  1  0.32758537  0.32758537  0.75000000  1
  Mg  Mg2  1  0.83926175  0.33926175  0.75000000  1
  Mo  Mo3  1  0.16623643  0.66623643  0.25000000  1
",Mg3Mo,0.3654553511073826
